Part number,Value,Comment,Mfr,Library Path,Library Ref,Footprint Path,Footprint Ref 1
ELSI_Spinal_electrode_connector,,Custom spinal electrode,Custom,connector_8pin.SchLib,connector_8pin,elsi_spinal_electrode_8pin.PcbLib,ELSI spinal electrode 8pin
Medtronic_Spinal_electrode_connector,,Custom spinal electrode,Custom,connector_8pin.SchLib,connector_8pin,medtronic_spinal_electrode_8pin.PcbLib,Medtronic spinal electrode 8pin
