Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Voltage,Cap,Vf,Current,Power,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,Note,
BZX84C36LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,36, , , ,350mW, , ,"BZX84C36LT1G, SOT23-3 36V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 36V",BZX84C36LT1G On Semiconductor,,
BZX84C39LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,39, , , ,350mW, , ,"BZX84C39LT1G, SOT23-3 39V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 39V",BZX84C39LT1G On Semiconductor,,
BZX84C3V0LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,3, , , ,350mW, , ,"BZX84C3V0LT1G, SOT23-3 3V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 3V",BZX84C3V0LT1G On Semiconductor,,
BZX84C3V3LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"3,3", , , ,350mW, , ,"BZX84C3V3LT1G, SOT23-3 3,3V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 3,3V",BZX84C3V3LT1G On Semiconductor,,
BZX84C3V9LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"3,9", , , ,350mW, , ,"BZX84C3V9LT1G, SOT23-3 3,9V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 3,9V",BZX84C3V9LT1G On Semiconductor,,
BZX84C43LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,43, , , ,350mW, , ,"BZX84C43LT1G, SOT23-3 43V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 43V",BZX84C43LT1G On Semiconductor,,
BZX84C47LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,47, , , ,350mW, , ,"BZX84C47LT1G, SOT23-3 47V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 47V",BZX84C47LT1G On Semiconductor,,
BZX84C4V3LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"4,3", , , ,350mW, , ,"BZX84C4V3LT1G, SOT23-3 4,3V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 4,3V",BZX84C4V3LT1G On Semiconductor,,
BZX84C4V7LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"4,7", , , ,350mW, , ,"BZX84C4V7LT1G, SOT23-3 4,7V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 4,7V",BZX84C4V7LT1G On Semiconductor,,
BZX84C51LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,51, , , ,350mW, , ,"BZX84C51LT1G, SOT23-3 51V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 51V",BZX84C51LT1G On Semiconductor,,
BZX84C5V1LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"5,1", , , ,350mW, , ,"BZX84C5V1LT1G, SOT23-3 5,1V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 5,1V",BZX84C5V1LT1G On Semiconductor,,
BZX84C5V6LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"5,6", , , ,350mW, , ,"BZX84C5V6LT1G, SOT23-3 5,6V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 5,6V",BZX84C5V6LT1G On Semiconductor,,
BZX84C6V2LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"6,2", , , ,350mW, , ,"BZX84C6V2LT1G, SOT23-3 6,2V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 6,2V",BZX84C6V2LT1G On Semiconductor,,
BZX84C6V8LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"6,8", , , ,350mW, , ,"BZX84C6V8LT1G, SOT23-3 6,8V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 6,8V",BZX84C6V8LT1G On Semiconductor,,
BZX84C7V5LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"7,5", , , ,350mW, , ,"BZX84C7V5LT1G, SOT23-3 7,5V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 7,5V",BZX84C7V5LT1G On Semiconductor,,
BZX84C8V2LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"8,2", , , ,350mW, , ,"BZX84C8V2LT1G, SOT23-3 8,2V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 8,2V",BZX84C8V2LT1G On Semiconductor,,
BZX84C9V1LT1G,On Semiconductor, ,BZX84.SchLib,BZX84,PCB - LEADED - SOT-23 - TI SOT-23-3 DBZ.PCBLIB,TI SOT-23-3 DBZ,SOT23-3,"9,1", , , ,350mW, , ,"BZX84C9V1LT1G, SOT23-3 9,1V  350mW",Datasheet,http://www.diodes.com/datasheets/ds18001.pdf,"SOT23-3, 9,1V",BZX84C9V1LT1G On Semiconductor,,
