Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Type,FREQ,Noise,Channels,Current,Voltage,Tech,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,gost BOM,Component Note,Note
INA828ID,Texas Instruments," ",INA828ID.SchLib,INA828ID,PCB - LEADED - SOIC - TI SOIC-8 D0008A.PcbLib,TI SOIC-8 D0008A,SOIC-8,INAMP,2 MHz,7 nV/sqrt(Hz),1," 650 uA",36V,BJT," -40",125,"50-μV Offset, 7-nV/√Hz Noise, Low-Power, Precision Instrumentation Amplifier",Datasheet,https://static.chipdip.ru/lib/253/DOC043253048.pdf,INA828IDR Texas Instruments,SOIC-8,
LTC6373,Analog Devices,,LTC6373.SchLib,LTC6373,PCB - LEADLESS - DFN - ANALOG DFN-12 05-08-1791.PcbLib,ANALOG DFN-12 05-08-1791,DFN-12,INAMP,4 MHz,8 nV/sqrt(Hz),1,,±4.5 V to ±18 V,, -40,105,36 V Fully-Differential Programmable-Gain Instrumentation Amplifier with 25 pA Input Bias Current,Datasheet,https://www.analog.com/media/en/technical-documentation/data-sheets/ltc6373.pdf,LTC6373 Analog Devices,DFN-12,
