Part Number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Diodes in Pack,Voltage,Vbr,Current,Power,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,TU,Note
PESD3V3L1BA,UMW, ,TVS_single_bidirectional.SchLib,TVS_single_bidirectional,PCB - DIODES - MCC SOD-323.PCBLIB,MCC SOD-323,SOD-323,1,3.3,"4.0",20A,480W,-55,150,"PESD3V3L1BA, SOD-323 Bidirectional ESD 3.3V",Datasheet,https://static.chipdip.ru/lib/297/DOC021297007.pdf,SOD-323,PESD3V3L1BA SOD-323 UMW, , 
SRV05-4.TCT,UMW,USBLC6-4SC6 STMicroelectronics,USBLC6-4SC6.SchLib,USBLC6-4SC6,PCB - LEADED - SOT-23 - TI SOT-23-6 DBV.PCBLIB,TI SOT-23-6 DBV,SOT23-6,4,5,6,,60,-55,125,"SRV05-4.TCT, SOT23-6 Low Capactiance 4-Line TVS Array",Datasheet,https://static.chipdip.ru/lib/303/DOC021303379.pdf,SOT23-6,SRV05-4.TCT SOT23-6 UMW,,
