Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,TU,Note
112J_TDAR,Attend,,Attend 112J_TDAR.SchLib,Attend 112J_TDAR,Attend - 112J_TDAR.PCBLIB,Attend 112J_TDAR,-25,85,microSD Memory Card Connector,Datasheet,https://static.chipdip.ru/lib/773/DOC031773088.pdf,,112J_TDAR Attend ,,
503398-1892,Molex,,Molex 503398-1892.SchLib,Molex 503398-1892,Molex 503398-1892.PCBLIB,Molex 503398-1892,-25,85,microSD Memory Card Connector,Datasheet,https://static.chipdip.ru/lib/797/DOC059797415.pdf,,503398-1892 Molex,,
