Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Type,Vimin,Vimax,VO,Current,Power,K,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,TU,Component Note,gost BOM,Note
MDS06F-12,Mean Well,,Mean Well MDS06.SchLib,MDS06,PCB - POWER MODULE - MEANWELL MDS06.PCBLIB,MDS06,DIP 24,DC-DC regulated converter,9,36,12V,500 mA,6W,81%,-40,90,6W DIP Package DC-DC Medical Grade Regulated Converter,Datasheet,https://static.chipdip.ru/lib/409/DOC016409670.pdf,,,MDS06F-12 Mean Well,
MDD06F-05,Mean Well,,Mean Well MDD06.SchLib,MDD06,PCB - POWER MODULE - MEANWELL MDD06.PCBLIB,MDD06,DIP 24,DC-DC regulated converter,9,36,±5V,±60-600,6W,80%,-40,90,6W DIP Package DC-DC Medical Grade Regulated Converter,Datasheet,https://static.chipdip.ru/lib/409/DOC016409670.pdf,,,MDD06F-12 Mean Well,
SCWN03E-05,Mean Well,,Mean Well SCWN03E.SchLib,SCWN03,PCB - POWER MODULE - MEANWELL SCWN03.PCBLIB,SCWN03,DIP 24,DC-DC regulated converter,4.5,9,5V,600mA,3W,78%,-40,90,3W DIP Package DC-DC Regulated Converter,Datasheet,https://static.chipdip.ru/lib/409/DOC016409568.pdf,,,SCWN03E-05 Mean Well,
