Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Resolution bits,Channels,Data rate,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,gost BOM,Component Note,Note
ADS131M08IPBS,Texas Instruments," ",ADS131M08IPBS.SchLib,ADS131M08IPBS,PCB - LEADED - LQFP - TI PQFP-32 PBS.PcbLib,TI PQFP-32 PBS,TQFP-32,24," 8 Simultaneous",32 kSPS," -40",125,"8-Channel, Simultaneously-Sampling, 24-Bit, Delta-Sigma ADC",Datasheet,https://static.chipdip.ru/lib/829/DOC031829094.pdf,ADS131M08IPBS Texas Instruments,TQFP-32,
ADS8588SIPM,Texas Instruments,,ADS8588SIPM.SCHLIB,ADS8588SIPM,PCB - LEADED - LQFP - TI TQFP-64 PAG0064A.PcbLib,TI TQFP-64 PAG0064A,TQFP-64,16, 8 Simultaneous,200 kSPS, -40,125,"16-Bit, High-Speed, 8-Channel, Simultaneous-Sampling ADC with Bipolar Inputs on a Single Supply",Datasheet,https://static.chipdip.ru/lib/227/DOC043227868.pdf,ADS8588SIPM Texas Instruments,TQFP-64,
ADS1299IPAG,Texas Instruments,,ADS1299IPAG.SCHLIB,ADS1299IPAG,PCB - LEADED - LQFP - TI TQFP-64 PAG0064A.PcbLib,TI TQFP-64 PAG0064A,TQFP-64,24, 8 Simultaneous,16 kSPS, -40,85,"Low-Noise, 4-, 6-, 8-Channel, 24-Bit, Analog-to-Digital Converter for EEG and Biopotential Measurements",Datasheet,https://static.chipdip.ru/lib/820/DOC059820272.pdf,ADS1299IPAG Texas Instruments,TQFP-64,
